y_pred_krig=16.014702890094604	 h=16.00948	 err(%)=0.0003262373352915949
y_pred_krig=20.70219950076995	 h=20.702091	 err(%)=5.24105366703473e-06
y_pred_krig=19.355560938127844	 h=19.426594	 err(%)=-0.003656485633670888
y_pred_krig=21.987626083024058	 h=21.978323	 err(%)=0.0004232844800787536
y_pred_krig=20.51654856752937	 h=20.522846	 err(%)=-0.0003068498623744361
y_pred_krig=20.574030546773844	 h=20.567062	 err(%)=0.0003388207209101868
y_pred_krig=22.307712873682664	 h=22.337996	 err(%)=-0.0013556778467207168
y_pred_krig=20.55166297407354	 h=20.546867	 err(%)=0.00023341631955574966
y_pred_krig=21.445230782695457	 h=21.44576	 err(%)=-2.4677013290393255e-05
y_pred_krig=21.678403282269077	 h=21.680946	 err(%)=-0.00011727891075056646
y_pred_krig=20.404961557173273	 h=20.410425	 err(%)=-0.0002676790329807959
y_pred_krig=21.75064886517516	 h=21.754282	 err(%)=-0.00016700780218065482
y_pred_krig=21.364679965646783	 h=21.36389	 err(%)=3.6976676381565075e-05
y_pred_krig=19.413581822916417	 h=19.403303	 err(%)=0.0005297460394457306
y_pred_krig=20.901582791552684	 h=20.899696	 err(%)=9.027842092466091e-05
y_pred_krig=19.230740784808884	 h=19.230263	 err(%)=2.4845464093904003e-05
y_pred_krig=20.828648733703748	 h=20.79398	 err(%)=0.001667248583664434
y_pred_krig=19.90256244938922	 h=19.915129	 err(%)=-0.0006310052327947004
y_pred_krig=16.752638563493758	 h=16.730476	 err(%)=0.0013246821844015743
y_pred_krig=19.94000155717281	 h=19.870977	 err(%)=0.003473636810752177
y_pred_krig=21.119626673597786	 h=21.144066	 err(%)=-0.0011558480002007614
y_pred_krig=21.229195716339166	 h=21.23439	 err(%)=-0.0002446165706118585
y_pred_krig=21.60300110200091	 h=21.603636	 err(%)=-2.938847882327664e-05
y_pred_krig=16.09995063619739	 h=16.133175	 err(%)=-0.002059381603596933
err=0.0004429078045095126
errNorm=0.9998625766845318 	=	 0.000137423315468177
q2_loo=0.9998625766845318
Ks : 17.049388170698 	 44.965446052411465
Q : 1661.168707251546 	 9852.751823711795
y_pred_krig=18.247094380430276	 h=18.217821	 err(%)=0.0016068541034778862
y_pred_krig=18.457231073932167	 h=18.460672	 err(%)=-0.00018639224335016843
y_pred_krig=18.38975254103509	 h=18.390379	 err(%)=-3.406449453321242e-05
y_pred_krig=14.948482532074205	 h=15.076979	 err(%)=-0.008522693301210691
y_pred_krig=12.121899449665637	 h=12.10591	 err(%)=0.0013207970045735862
y_pred_krig=14.306192817802334	 h=14.3673935	 err(%)=-0.004259692768745195
y_pred_krig=11.284428402909999	 h=11.274467	 err(%)=0.0008835364820349601
y_pred_krig=14.25305304667545	 h=14.178074	 err(%)=0.005288380260636958
y_pred_krig=18.32686530376952	 h=18.36353	 err(%)=-0.0019966039334747346
y_pred_krig=14.788310224361094	 h=14.725541	 err(%)=0.0042626090519251175
y_pred_krig=16.913778293199044	 h=16.91099	 err(%)=0.00016488054212335368
y_pred_krig=18.367125647651363	 h=18.370216	 err(%)=-0.0001682262390728482
y_pred_krig=15.576517327966812	 h=15.622695	 err(%)=-0.002955807050780185
y_pred_krig=18.003885137339612	 h=17.99998	 err(%)=0.00021695231548097754
y_pred_krig=15.202059170503503	 h=15.182704	 err(%)=0.00127481708814871
y_pred_krig=18.408156601036694	 h=18.420303	 err(%)=-0.0006594027776473807
y_pred_krig=17.880332970525956	 h=17.884819	 err(%)=-0.0002508288998644341
y_pred_krig=18.35214411570151	 h=18.352064	 err(%)=4.365487255881338e-06
y_pred_krig=18.4217252876776	 h=18.390427	 err(%)=0.0017018793352433011
y_pred_krig=18.38162668103571	 h=18.384382	 err(%)=-0.00014987280857687544
y_pred_krig=18.425144402491767	 h=18.423553	 err(%)=8.637869643109258e-05
y_pred_krig=11.646794442657022	 h=11.643018	 err(%)=0.00032435255678745596
y_pred_krig=13.735302909321845	 h=13.818495	 err(%)=-0.006020343798521846
y_pred_krig=13.127610139264693	 h=13.094448	 err(%)=0.002532534343157728
y_pred_krig=16.606749419675314	 h=16.62106	 err(%)=-0.0008609908348015186
y_pred_krig=11.442635394138648	 h=11.446861	 err(%)=-0.00036914974868237867
y_pred_krig=17.53967729246087	 h=17.529036	 err(%)=0.0006070666099874314
y_pred_krig=13.412184906716984	 h=13.470601	 err(%)=-0.004336561767586778
y_pred_krig=18.447274517934382	 h=18.436665	 err(%)=0.0005754575425859483
y_pred_krig=18.11325862258121	 h=18.122683	 err(%)=-0.0005200321287299881
y_pred_krig=17.7849759261816	 h=17.780756	 err(%)=0.00023733108882423532
y_pred_krig=18.472294439923072	 h=18.494806	 err(%)=-0.0012171828175396142
y_pred_krig=17.145403128442457	 h=17.117908	 err(%)=0.0016062201317156698
y_pred_krig=18.404280788471784	 h=18.399967	 err(%)=0.00023444544611322688
y_pred_krig=18.381679838212747	 h=18.388187	 err(%)=-0.0003538772902000177
y_pred_krig=17.375478356841274	 h=17.398026	 err(%)=-0.0012959885885173111
y_pred_krig=18.42613029933676	 h=18.4216	 err(%)=0.0002459232279908956
y_pred_krig=18.380681030262206	 h=18.3759	 err(%)=0.0002601793796333603
y_pred_krig=16.110028153581638	 h=16.111675	 err(%)=-0.0001022144760469584
y_pred_krig=17.566664886769804	 h=17.578474	 err(%)=-0.0006717939924817301
y_pred_krig=16.38790104263764	 h=16.39322	 err(%)=-0.00032446080528164084
y_pred_krig=16.142922825513367	 h=16.104687	 err(%)=0.002374204820830615
y_pred_krig=17.210359632536193	 h=17.19528	 err(%)=0.0008769634769653287
y_pred_krig=12.67111930135233	 h=12.679652	 err(%)=-0.0006729442296736649
y_pred_krig=13.99978919286988	 h=13.876051	 err(%)=0.008917392482189602
y_pred_krig=16.00132409136377	 h=16.037909	 err(%)=-0.002281152027750555
y_pred_krig=16.814534976383527	 h=16.823982	 err(%)=-0.0005615212627114003
y_pred_krig=18.40825960304567	 h=18.40922	 err(%)=-5.2169345269920335e-05
y_pred_krig=12.402227090161045	 h=12.413172	 err(%)=-0.0008817174078434334
err=0.0014031450239006796
errNorm=0.9997278585472672 	=	 0.0002721414527327992
q2_loo=0.9997278585472672
